What's your preferred study level?,"If Ph.D., do you already have a supervisor who's happy to work with you?","If Yes, has the supervisor approved your proposal?",What is your intended study area?,Choose the most preferred destination you would like to study?,Choose the second most preferred destination you would like to study?,Choose the third most preferred destination you would like to study?,What is the study plan month and year?,Have you contacted or shortlisted your University already?,Have you already started the application process directly with the university OR were you asked by the university to contact us to complete the application?,"Currently, are you a student or a working professional?",How much work experience do you have?,Please mention year of birth?,Do you already have a passport?,We would like to know bit better about your academic achievements so far. So have you had any backlogs?,"If yes, choose the number of backlogs you had",How much are you planning to spend on your studies and the living costs per year?,So you mentioned that your budget is XXX lakhs. How are you going to fund your studies?,Are your parents in service or doing their own business?,Have you taken any English proficiency test?,"If yes, please provide the test","If yes, what was the score overall?",Have any of your family members studied abroad OR do you have any friends or family in the country that you want to study in?,Which other study abroad consultants are you in touch with for your application?,Lead converted flag
Postgraduate,,,Sciences,Australia,,,01-01-22,No,,Student,,1999,Yes,No,,10 - 20 lakhs,Self funding,In-Service,No,,,No,,0
Vocational,,,Marine,UK,,,01-09-21,No,,Student,,2001,Yes,No,,Not provided,Parents asset,Own business,Yes,IELTS,4,No,,0
Postgraduate,,,Computer Science and Information Technology,UK,,,01-09-21,No,,Working professional,1 - 3 years of work exp,1992,Yes,Yes,06-Oct,Not provided,Combined self /parent funding and bank loan,In-Service,No,,,No,,0
Postgraduate,,,Political,UK,,USA,01-09-21,No,,Student,,1998,No,No,,Not provided,Combined self /parent funding and bank loan,Own business,No,,,No,,0
Undergraduate,,,Pharmacy,UK,,,01-01-21,No,,Student,,2002,No,No,,10 lakhs or under,Parents asset,Own business,No,,,No,,0
Postgraduate,,,Business & Economics,Canada,Canada,Canada,01-01-21,No,,Student,,1994,Yes,No,,Not provided,Bank loan,Own business,No,,,Yes,viec consultants,0
Postgraduate,,,MBA,UK,UK,,01-01-21,No,,Working professional,4 - 6 years of work exp,1996,Yes,Yes,< 5 ,10 - 20 lakhs,Combined self /parent funding and bank loan,Own business,No,,,No,,0
Vocational,,,Finance,UK,Ireland,,01-01-21,No,,Working professional,7+ years of work exp,1989,Yes,No,,10 lakhs or under,Self funding,In-Service,No,,,No,,0
Vocational,,,Business & Economics,UK,Australia,Canada,01-09-21,Yes,No,Working professional,1 - 3 years of work exp,1995,No,No,,Not provided,Parents asset,In-Service,No,,,Yes,None,0
Postgraduate,,,Sciences,USA,UK,,01-09-21,No,,Working professional,4 - 6 years of work exp,1993,Yes,No,,Not provided,Other,Own business,No,,,Yes,,0
Postgraduate,,,Sciences,UK,,,01-07-21,No,,Student,,1997,No,No,,Not provided,Parents asset,In-Service,No,,,Yes,,0
Undergraduate,,,Management,Canada,,,01-09-22,No,,Student,,2001,Yes,No,,Not provided,Combined self /parent funding and bank loan,In-Service,Yes,Other,49,Yes,,0
Vocational,,,Other,UK,Canada,Canada,01-09-21,No,,Working professional,< 1 year of work exp,1994,Yes,No,,Not provided,Parents asset,Own business,No,,,Yes,None,0
Undergraduate,,,Sciences,New Zealand,Ireland,,01-09-21,No,,Student,,2001,Yes,No,,10 lakhs or under,Combined self /parent funding and bank loan,In-Service,No,,,No,,0
Postgraduate,,,Matths,Australia,Australia,Australia,01-09-21,No,,Working professional,4 - 6 years of work exp,1984,Yes,No,,10 lakhs or under,Parents asset,In-Service,Yes,IELTS,7,No,None,0
Postgraduate,,,Computer Science and Information Technology,USA,Canada,,01-09-21,No,,Student,,1999,Yes,No,,20 - 30 lakhs,Parents asset,In-Service,Yes,IELTS,7,No,,0
Undergraduate,,,Commerce,Australia,Canada,,01-01-21,Yes,No,Student,,2002,Yes,No,,Not provided,Parents asset,Not provided,Yes,IELTS,6,Yes,,0
Postgraduate,,,MBA,UK,UK,,01-09-21,Yes,No,Student,,1993,No,No,,Not provided,Combined self /parent funding and bank loan,In-Service,No,,,No,,0
Postgraduate,,,Business & Economics,USA,UK,Canada,01-09-21,No,,Working professional,1 - 3 years of work exp,1995,Yes,Yes,< 5 ,Not provided,Bank loan,Own business,No,,,Yes,None,0
Undergraduate,,,Engineering,Canada,Canada,Canada,01-09-21,No,,Working professional,1 - 3 years of work exp,1992,Yes,No,,Not provided,Parents asset,In-Service,No,,,Yes,,0
Undergraduate,,,Photography,Canada,,,01-01-21,No,,Student,,2002,No,No,,10 - 20 lakhs,Combined self /parent funding and bank loan,Own business,No,,,Yes,,0
Postgraduate,,,Engineering,USA,UK,Australia,01-01-21,No,,Student,,1998,No,Yes,> 10,Not provided,Combined self /parent funding and bank loan,Own business,No,,,Yes,,0
Postgraduate,,,Micro-Electronics,USA,Australia,,01-01-21,No,,Working professional,1 - 3 years of work exp,1994,Yes,No,,Not provided,Parents asset,Own business,No,,,Yes,,0
Undergraduate,,,Business & Economics,Canada,Australia,UK,01-01-21,No,,Student,,2000,Yes,No,,10 lakhs or under,Parents asset,In-Service,Yes,IELTS,6,No,None,0
Postgraduate,,,Micro-Biology,USA,,,01-01-21,No,,Student,,1999,No,No,,Not provided,Parents asset,Own business,No,,,No,,0
Undergraduate,,,Sciences,Canada,Australia,,01-09-21,No,,Student,,2001,Yes,No,,10 - 20 lakhs,Parents asset,Own business,Yes,IELTS,5.5,Yes,,1
Postgraduate,,,Computer Science and Information Technology,UK,New Zealand,Canada,01-09-21,No,,Student,,1998,Yes,No,,Not provided,Bank loan,In-Service,No,,,No,None,0
Postgraduate,,,Engineering,Canada,UK,,01-09-21,No,,Student,,1997,Yes,Yes,< 5 ,Not provided,Combined self /parent funding and bank loan,In-Service,No,,,Yes,,0
Postgraduate,,,Biotech,UK,,,01-01-21,No,,Student,,1998,No,No,,Not provided,Other,Own business,No,,,No,,0
Undergraduate,,,Sciences,UK,,,01-07-21,No,,Student,,2000,Yes,No,,20 - 30 lakhs,Combined self /parent funding and bank loan,In-Service,No,,,No,,0
Postgraduate,,,Data Sciences,USA,Canada,,01-01-21,No,,Student,,1998,Yes,Yes,< 5 ,20 - 30 lakhs,Combined self /parent funding and bank loan,In-Service,No,,,No,,0
Postgraduate,,,Media & Communications,Canada,Australia,UK,01-01-21,No,,Student,,2000,No,No,,Not provided,Other,Own business,No,,,Yes,None,1
Postgraduate,,,Commerce,Canada,,,01-01-21,No,,Student,,1999,Yes,No,,Not provided,Parents asset,In-Service,No,,,Yes,,0
Postgraduate,,,Business & Economics,UK,Canada,Australia,01-09-21,No,,Student,,2000,Yes,No,,Not provided,Parents asset,In-Service,No,,,No,None,0
Undergraduate,,,Sciences,USA,Australia,,01-09-21,No,,Student,,2002,No,No,,Not provided,Combined self /parent funding and bank loan,Own business,No,,,No,,0
Postgraduate,,,Commerce,USA,,,01-01-21,No,,Student,,2000,No,No,,Not provided,Combined self /parent funding and bank loan,Own business,No,,,No,,0
Postgraduate,,,Hotel Management,UK,Canada,,01-09-21,Yes,No,Student,,1999,Yes,No,,Not provided,Combined self /parent funding and bank loan,Not provided,No,,,Yes,,0
Postgraduate,,,Other,Canada,,,01-09-22,Yes,No,Student,,1999,Yes,No,,10 - 20 lakhs,Combined self /parent funding and bank loan,Own business,No,,,No,,0
Undergraduate,,,commerce,USA,,,01-01-21,No,,Student,,1998,Yes,No,,Not provided,Parents asset,Own business,No,,,Yes,,0
Vocational,,,Computer Science and Information Technology,Canada,,,01-01-21,Yes,No,Student,,1999,Yes,No,,Not provided,Parents asset,In-Service,No,,,Yes,,0
Postgraduate,,,Management,Canada,UK,Australia,01-09-22,Yes,No,Student,,2000,Yes,No,,Not provided,Parents asset,In-Service,Yes,IELTS,7.5,Yes,,0
Postgraduate,,,Business,Canada,UK,,01-09-21,No,,Student,,1994,Yes,No,,10 - 20 lakhs,Combined self /parent funding and bank loan,Not provided,No,,,No,,0
Undergraduate,,,Other,Canada,,,01-01-21,Yes,No,Student,,2002,Yes,No,,10 - 20 lakhs,Parents asset,Not provided,Yes,IELTS,6,Yes,,0
Postgraduate,,,Engineering,UK,Canada,,01-09-21,No,,Student,,1998,Yes,No,,Not provided,Combined self /parent funding and bank loan,Not provided,No,,,Yes,,0
Postgraduate,,,Telecom,New Zealand,,,01-09-21,No,,Student,,1995,Yes,Yes,< 5 ,10 - 20 lakhs,Combined self /parent funding and bank loan,Not provided,No,,,No,,0
Vocational,,,Architecture & Built Environment Studies,Canada,Canada,Canada,01-09-21,No,,Working professional,< 1 year of work exp,1998,Yes,No,,10 lakhs or under,Parents asset,Own business,No,,,Yes,,0
Postgraduate,,,Music,Canada,,,01-09-21,No,,Student,,1999,Yes,No,,Not provided,Parents asset,Own business,No,,,Yes,,0
Postgraduate,,,Web Developer,UK,,,01-01-21,No,,Student,,1999,No,No,,Not provided,Combined self /parent funding and bank loan,In-Service,No,,,No,,0
Postgraduate,,,Business & Economics,Australia,USA,UK,01-09-21,No,,Student,,2001,No,Yes,< 5 ,10 lakhs or under,Parents asset,In-Service,No,,,No,none,0
Postgraduate,,,Engineering,UK,,,01-01-21,No,,Student,,2000,No,Yes,< 5 ,Not provided,Combined self /parent funding and bank loan,In-Service,No,,,No,,0
Vocational,,,Management,Canada,,,01-09-21,No,,Working professional,7+ years of work exp,1983,Yes,No,,Not provided,Self funding,In-Service,Yes,Other,7,No,,0
Postgraduate,,,Business & Economics,Canada,USA,,01-09-21,Yes,No,Working professional,4 - 6 years of work exp,1994,Yes,Yes,< 5 ,10 - 20 lakhs,Self funding,In-Service,Yes,IELTS,7,Yes,,0
Undergraduate,,,Business & Economics,Canada,UK,Australia,01-01-21,No,,Student,,2000,Yes,No,,Not provided,Parents asset,In-Service,No,,,Yes,none,0
Postgraduate,,,Engineering,UK,,,01-01-21,No,,Student,,1997,Yes,No,,Not provided,Parents asset,In-Service,No,,,No,,0
Postgraduate,,,Business & Economics,UK,USA,USA,01-09-21,No,,Student,,2000,No,No,,10 lakhs or under,Bank loan,In-Service,No,,,No,None,0
Postgraduate,,,Engineering,Australia,UK,,01-01-21,No,,Student,,2000,No,No,,Not provided,Parents asset,Own business,No,,,Yes,,0
Postgraduate,,,Hospitality,UK,Canada,New Zealand,01-01-21,No,,Working professional,1 - 3 years of work exp,1995,Yes,No,,Not provided,Bank loan,In-Service,No,,,No,None,0
Postgraduate,,,Occupational Therapist,Ireland,Australia,UK,01-09-22,No,,Working professional,< 1 year of work exp,1995,No,No,,Not provided,Self funding,In-Service,No,,,Yes,,0
Postgraduate,,,Business & Economics,Canada,Canada,Canada,01-09-21,No,,Working professional,4 - 6 years of work exp,1993,Yes,No,,10 - 20 lakhs,Bank loan,Own business,No,,,Yes,none,0
Postgraduate,,,Business & Economics,USA,Canada,New Zealand,01-09-21,No,,Working professional,1 - 3 years of work exp,1994,Yes,No,,Not provided,Combined self /parent funding and bank loan,Own business,No,,,Yes,none,0
Postgraduate,,,muscular skeleton,USA,Australia,UK,01-09-21,No,,Student,,1998,Yes,No,,10 lakhs or under,Parents asset,In-Service,No,,,Yes,none,0
Postgraduate,,,Finance,USA,USA,,01-09-21,No,,Working professional,1 - 3 years of work exp,1992,Yes,No,,10 - 20 lakhs,Combined self /parent funding and bank loan,In-Service,Yes,GRE,314,No,,0
Postgraduate,,,Computer Science and Information Technology,Australia,UK,Australia,01-09-21,No,,Working professional,7+ years of work exp,1991,Yes,Yes,< 5 ,10 - 20 lakhs,Parents asset,Own business,Yes,IELTS,6.5,No,,0
Vocational,,,Computer Science and Information Technology,UK,,,01-09-21,No,,Working professional,1 - 3 years of work exp,1993,No,No,,Not provided,Combined self /parent funding and bank loan,Own business,Yes,TOEFL,7.9,No,,0
Vocational,,,Nursing,Canada,,,01-09-21,No,,Student,,1993,Yes,No,,Not provided,Parents asset,Not provided,Yes,Other,6,Yes,,0
Postgraduate,,,Public Health,Canada,,,01-01-21,No,,Working professional,1 - 3 years of work exp,1990,No,No,,Not provided,Combined self /parent funding and bank loan,In-Service,No,,,No,,0
Postgraduate,,,Computer Science and Information Technology,USA,,,01-09-21,No,,Student,,1999,Yes,Yes,06-Oct,Not provided,Parents asset,Own business,No,,,Yes,,0
Postgraduate,,,Fine Arts,Australia,,,01-09-21,No,,Student,,1996,Yes,No,,10 lakhs or under,Parents asset,Own business,No,,,No,,0
Vocational,,,Computer Science and Information Technology,Canada,,,01-01-21,No,,Working professional,1 - 3 years of work exp,1996,Yes,Yes,< 5 ,10 - 20 lakhs,Combined self /parent funding and bank loan,Own business,Yes,IELTS,7.5,No,,0
Undergraduate,,,ARTS,Canada,,,01-09-21,Yes,No,Student,,2002,Yes,No,,Not provided,Parents asset,Own business,Yes,IELTS,6.5,No,,0
Postgraduate,,,MBA,UK,Canada,,01-09-22,No,,Working professional,4 - 6 years of work exp,1995,Yes,No,,Not provided,Combined self /parent funding and bank loan,Own business,Yes,IELTS,7.5,Yes,,0
Vocational,,,Marketing,New Zealand,Canada,,01-09-21,Yes,No,Student,,1995,Yes,No,,Not provided,Combined self /parent funding and bank loan,Own business,No,,,Yes,,0
Undergraduate,,,Sciences,Canada,,,01-01-21,No,,Student,,2002,Yes,No,,Not provided,Parents asset,Own business,No,,,Yes,,0
Vocational,,,Data,Canada,,,01-09-21,No,,Working professional,7+ years of work exp,1981,Yes,No,,Not provided,Parents asset,In-Service,Yes,IELTS,8.5,No,,0
Postgraduate,,,Other,Canada,,,01-09-22,No,,Student,,1999,No,No,,Not provided,Parents asset,Own business,No,,,Yes,,0
Vocational,,,Psychology,Canada,,,01-09-21,No,,Student,,1997,Yes,No,,20 - 30 lakhs,Parents asset,Own business,No,,,Yes,,0
Postgraduate,,,Pharmacy,UK,Canada,,01-09-21,Yes,No,Student,,1999,Yes,Yes,> 10,20 - 30 lakhs,Combined self /parent funding and bank loan,In-Service,Yes,IELTS,6.5,No,,0
Vocational,,,Marketing,UK,,,01-09-21,No,,Working professional,1 - 3 years of work exp,1996,Yes,No,,Not provided,Parents asset,Own business,No,,,No,,0
Vocational,,,Hospitality,Canada,Australia,,01-01-21,No,,Student,,1997,Yes,No,,10 - 20 lakhs,Parents asset,Not provided,Yes,IELTS,6.5,Yes,,0
Undergraduate,,,Computer Science and Information Technology,USA,,,01-01-21,No,,Student,,2003,No,No,,Not provided,Not provided,In-Service,No,,,Yes,,0
Postgraduate,,,Engineering,USA,,,01-09-22,No,,Working professional,1 - 3 years of work exp,1996,Yes,Yes,< 5 ,20 - 30 lakhs,Combined self /parent funding and bank loan,Own business,No,,,Yes,,0
Postgraduate,,,Other,USA,UK,Canada,01-09-21,No,,Student,,1999,Yes,No,,Not provided,Combined self /parent funding and bank loan,Own business,No,,,Yes,,0
Vocational,,,Nursing,Canada,,,01-01-21,No,,Working professional,4 - 6 years of work exp,1992,Yes,No,,Not provided,Self funding,In-Service,No,,,No,,0
Postgraduate,,,Business & Economics,UK,Canada,,01-01-21,No,,Student,,2001,Yes,No,,Not provided,Combined self /parent funding and bank loan,In-Service,No,,,No,,0
Postgraduate,,,Finance,UK,Canada,,01-09-21,No,,Working professional,7+ years of work exp,1983,Yes,Yes,> 10,Not provided,Combined self /parent funding and bank loan,In-Service,Yes,TOEFL,100,No,,0
Postgraduate,,,English,Australia,Canada,,01-01-21,No,,Student,,1992,No,No,,Not provided,Other,Not provided,No,,,No,,0
Undergraduate,,,Engineering,UK,Canada,Australia,01-09-22,No,,Student,,2001,No,No,,Not provided,Combined self /parent funding and bank loan,In-Service,No,,,Yes,,0
Postgraduate,,,Nursing,Canada,USA,,01-09-21,No,,Student,,1996,Yes,No,,10 lakhs or under,Parents asset,In-Service,Yes,IELTS,7,Yes,,0
Postgraduate,,,Computer Science and Information Technology,USA,,,01-07-21,No,,Student,,1999,Yes,Yes,< 5 ,10 - 20 lakhs,Combined self /parent funding and bank loan,In-Service,No,,,Yes,,0
Postgraduate,,,Management,USA,Canada,,01-09-21,No,,Working professional,< 1 year of work exp,1996,Yes,No,,Not provided,Other,Own business,No,,,Yes,,0
Vocational,,,Psychology,UK,Australia,Canada,01-01-21,No,,Working professional,4 - 6 years of work exp,1991,Yes,No,,Not provided,Self funding,In-Service,No,,,No,,0
Undergraduate,,,Finance,Canada,,,01-01-21,Yes,No,Student,,2002,Yes,No,,10 - 20 lakhs,Parents asset,Own business,Yes,IELTS,6.5,Yes,,0
Postgraduate,,,Computer Science and Information Technology,Canada,,,01-09-21,No,,Working professional,1 - 3 years of work exp,1997,Yes,No,,Not provided,Parents asset,In-Service,No,,,Yes,,1
Vocational,,,Management,Canada,,,01-01-21,No,,Working professional,1 - 3 years of work exp,1993,Yes,No,,10 - 20 lakhs,Combined self /parent funding and bank loan,In-Service,No,,,No,,1
Postgraduate,,,Sciences,Ireland,New Zealand,Canada,01-01-22,No,,Student,,1998,Yes,No,,Not provided,Other,In-Service,No,,,Yes,,1
Postgraduate,,,Engineering,Canada,USA,,01-01-21,No,,Student,,1998,No,No,,Not provided,Parents asset,Not provided,No,,,No,,0
Postgraduate,,,Data Science,Canada,USA,,01-09-21,Yes,No,Student,,1998,Yes,No,,10 - 20 lakhs,Combined self /parent funding and bank loan,In-Service,Yes,IELTS,7.5,Yes,,1
Postgraduate,,,Law/legal studies,USA,Canada,,01-01-21,No,,Working professional,4 - 6 years of work exp,1992,No,No,,Not provided,Combined self /parent funding and bank loan,Not provided,No,,,No,,0
Postgraduate,,,Other,New Zealand,,,01-09-21,No,,Working professional,7+ years of work exp,1973,Yes,No,,Not provided,Self funding,In-Service,No,,,No,,0
Postgraduate,,,MBA,UK,Canada,,01-09-21,No,,Student,,2000,No,No,,Not provided,Self funding,Not provided,No,,,No,,0
Postgraduate,,,Engineering,USA,,,01-01-21,No,,Student,,1999,No,Yes,< 5 ,Not provided,Combined self /parent funding and bank loan,In-Service,No,,,Yes,,0
Postgraduate,,,Business & Economics,USA,Canada,,01-09-21,No,,Student,,2001,Yes,Yes,< 5 ,Not provided,Combined self /parent funding and bank loan,In-Service,No,,,Yes,,0
Postgraduate,,,Education,UK,Australia,,01-09-21,No,,Student,,1999,Yes,No,,Not provided,Other,In-Service,No,,,No,,0
Vocational,,,Engineering,Canada,Australia,,01-01-21,No,,Student,,1999,Yes,Yes,06-Oct,Not provided,Parents asset,Own business,No,,,No,,0
Postgraduate,,,Other,Canada,USA,,01-09-21,Yes,No,Student,,1996,Yes,No,,Not provided,Combined self /parent funding and bank loan,Own business,Yes,IELTS,7,Yes,,0
Postgraduate,,,MBA,UK,,,01-09-21,Yes,No,Working professional,< 1 year of work exp,1998,Yes,No,,Not provided,Combined self /parent funding and bank loan,Own business,No,,,No,,0
Postgraduate,,,Hospitality,Canada,,,01-01-21,No,,Student,,1995,Yes,No,,Not provided,Combined self /parent funding and bank loan,Own business,Yes,IELTS,6,Yes,,0
Postgraduate,,,Education,Canada,UK,,01-09-21,No,,Working professional,4 - 6 years of work exp,1987,Yes,No,,Not provided,Combined self /parent funding and bank loan,In-Service,No,,,No,,0
Undergraduate,,,Commerce,USA,,,01-07-21,No,,Student,,2003,No,No,,Not provided,Combined self /parent funding and bank loan,Own business,No,,,No,,0
Undergraduate,,,Engineering,Canada,,,01-09-21,No,,Student,,1991,Yes,No,,10 - 20 lakhs,Self funding,Not provided,No,,,No,,0
Undergraduate,,,Computer Science and Information Technology,Australia,,,01-01-21,No,,Student,,2000,No,No,,Not provided,Combined self /parent funding and bank loan,Own business,No,,,No,,0
Undergraduate,,,Commerce,UK,,,01-01-21,Yes,No,Student,,1996,Yes,No,,Not provided,Combined self /parent funding and bank loan,In-Service,No,,,Yes,,0
Postgraduate,,,Food Tech,Canada,UK,,01-01-21,No,,Student,,1999,No,No,,Not provided,Combined self /parent funding and bank loan,Own business,No,,,No,,0
Vocational,,,Business & Economics,Canada,Australia,UK,01-01-21,No,,Working professional,4 - 6 years of work exp,1991,Yes,No,,Not provided,Combined self /parent funding and bank loan,In-Service,No,,,Yes,,0
Postgraduate,,,Engineering,Australia,UK,,01-09-21,No,,Student,,1999,No,No,,20 - 30 lakhs,Combined self /parent funding and bank loan,In-Service,No,,,No,,0
Undergraduate,,,Engineering,Canada,USA,,01-01-21,No,,Student,,2004,Yes,No,,10 - 20 lakhs,Combined self /parent funding and bank loan,In-Service,No,,,No,,0
Postgraduate,,,MBA,UK,,,01-01-21,No,,Student,,1996,No,No,,Not provided,Combined self /parent funding and bank loan,Not provided,No,,,No,,0
Postgraduate,,,Engineering,USA,,,01-01-21,No,,Working professional,4 - 6 years of work exp,1995,No,No,,20 - 30 lakhs,Combined self /parent funding and bank loan,Own business,Yes,IELTS,7,No,,0
Vocational,,,Other,UK,,,01-09-21,No,,Working professional,7+ years of work exp,1991,Yes,No,,Not provided,Self funding,In-Service,No,,,No,,0
Postgraduate,,,Computer Science and Information Technology,USA,Canada,,01-09-21,No,,Working professional,< 1 year of work exp,1999,Yes,No,,Not provided,Combined self /parent funding and bank loan,Own business,No,,,Yes,,0
Postgraduate,,,Education,UK,Canada,,01-01-21,No,,Working professional,7+ years of work exp,1990,Yes,No,,10 - 20 lakhs,Combined self /parent funding and bank loan,Own business,Yes,IELTS,5.5,No,,0
Undergraduate,,,Computer Science and Information Technology,USA,UK,,01-09-21,No,,Student,,2002,Yes,No,,Not provided,Parents asset,Own business,No,,,Yes,,0
Postgraduate,,,MBA,UK,,,01-11-21,No,,Working professional,1 - 3 years of work exp,1995,Yes,No,,Not provided,Parents asset,Own business,No,,,Yes,,0
Undergraduate,,,Dental,Canada,,,01-01-21,No,,Student,,2002,Yes,No,,Not provided,Parents asset,Own business,No,,,Yes,,0
Postgraduate,,,Data Science,Ireland,UK,Australia,01-09-21,No,,Working professional,4 - 6 years of work exp,1993,Yes,Yes,< 5 ,Not provided,Parents asset,In-Service,No,,,No,,0
Postgraduate,,,Other,Australia,UK,,01-01-21,No,,Student,,1996,Yes,No,,Not provided,Combined self /parent funding and bank loan,In-Service,No,,,Yes,,0
Vocational,,,Engineering,Canada,UK,,01-01-21,No,,Student,,1997,Yes,Yes,< 5 ,10 - 20 lakhs,Combined self /parent funding and bank loan,Own business,Yes,IELTS,6,Yes,,0
Postgraduate,,,Business & Economics,UK,USA,Canada,01-01-21,No,,Working professional,< 1 year of work exp,1997,Yes,No,,Not provided,Parents asset,Own business,No,,,No,None,0
