What's your preferred study level?,"If Ph.D., do you already have a supervisor who's happy to work with you?","If Yes, has the supervisor approved your proposal?",What is your intended study area?,Choose the most preferred destination you would like to study?,Choose the second most preferred destination you would like to study?,Choose the third most preferred destination you would like to study?,What is the study plan month and year?,Have you contacted or shortlisted your University already?,Have you already started the application process directly with the university OR were you asked by the university to contact us to complete the application?,"Currently, are you a student or a working professional?",How much work experience do you have?,Please mention year of birth?,Do you already have a passport?,We would like to know bit better about your academic achievements so far. So have you had any backlogs?,"If yes, choose the number of backlogs you had",How much are you planning to spend on your studies and the living costs per year?,So you mentioned that your budget is XXX lakhs. How are you going to fund your studies?,Are your parents in service or doing their own business?,Have you taken any English proficiency test?,"If yes, please provide the test","If yes, what was the score overall?",Have any of your family members studied abroad OR do you have any friends or family in the country that you want to study in?,Which other study abroad consultants are you in touch with for your application?,Lead converted flag
Postgraduate,,,Computer Science and Information Technology,USA,Australia,UK,01-09-21,No,,Student,,1996,Yes,No,,30 lakhs and over,Combined self /parent funding and bank loan,In-Service,No,,,Yes,no,0
Undergraduate,,,Other,Canada,UK,,01-09-21,No,,Student,,2002,Yes,No,,Not provided,Parents asset,Own business,No,,,No,yes,0
Postgraduate,,,Engineering,Canada,Australia,UK,01-09-21,No,,Working professional,1 - 3 years of work exp,1996,Yes,Yes,06-Oct,20 - 30 lakhs,Combined self /parent funding and bank loan,In-Service,Yes,IELTS,6,No,no,0
Undergraduate,,,Sciences,UK,Ireland,Canada,01-01-21,No,,Student,,2001,No,No,,20 - 30 lakhs,Parents asset,In-Service,No,,,Yes,no,0
Undergraduate,,,Engineering,UK,,,01-09-21,No,,Student,,2003,Yes,No,,Not provided,Parents asset,Not provided,No,,,No,,0
Postgraduate,,,Business & Economics,UK,Australia,,01-01-21,No,,Student,,1998,Yes,No,,10 - 20 lakhs,Combined self /parent funding and bank loan,,No,,,No,,0
Postgraduate,,,Business & Economics,UK,Canada,Australia,01-09-21,No,,Working professional,1 - 3 years of work exp,1997,Yes,No,,10 lakhs or under,Bank loan,In-Service,No,,,Yes,Not in touch with anyone,0
Undergraduate,,,Law/legal studies,UK,,,01-09-21,Yes,No,Student,,2003,Yes,No,,Not provided,Not provided,Own business,No,,,No,Ascent Cousultants,0
Postgraduate,,,Other,UK,UK,UK,01.01.2021,No,,Student,,19011995,Yes,No,,10 lakhs or under,Parents asset,In-Service,No,,,Yes,No did not contact ,0
Postgraduate,,,Other,Ireland,,,01-09-21,No,,Student,,2001,Yes,No,,Not provided,Other,Not provided,No,,,No,None yet.,0
Postgraduate,,,Other,UK,Canada,Canada,01-01-21,No,,Student,,1988,Yes,No,,10 - 20 lakhs,Parents asset,Not provided,No,,,No,only in touch with idp,0
Postgraduate,,,Other,Canada,UK,,01-09-21,No,,Student,,1995,Yes,No,,Not provided,Parents asset,Own business,No,,,Yes,None yet.,0
Undergraduate,,,Sciences,UK,Canada,New Zealand,01-09-21,No,,Student,,2000,No,No,,Not provided,Parents asset,In-Service,No,,,Yes,no one,0
Postgraduate,,,Other,UK,Australia,,01-09-21,No,,Working professional,1 - 3 years of work exp,1994,Yes,No,,20 - 30 lakhs,Parents asset,Own business,Yes,IELTS,7.5,No,Krishna Consultant.,0
Postgraduate,,,Engineering,Canada,Australia,,01-09-21,No,,Working professional,7+ years of work exp,1988,Yes,No,,10 lakhs or under,Bank loan,Own business,No,,,Yes,None yet.,0
